month,occupation_code,unweighted_respondents,weighted_employment,source_file
2020-01,1240,49,145950,jan20pub.zip
2020-02,1240,56,141625,feb20pub.zip
2020-03,1240,47,149613,mar20pub.zip
2020-04,1240,44,150915,apr20pub.zip
2020-05,1240,41,152287,may20pub.zip
2020-06,1240,47,192528,jun20pub.zip
2020-07,1240,46,166091,jul20pub.zip
2020-08,1240,52,169983,aug20pub.zip
2020-09,1240,58,175517,sep20pub.zip
2020-10,1240,65,176914,oct20pub.zip
2020-11,1240,71,190544,nov20pub.zip
2020-12,1240,65,211288,dec20pub.zip
2021-01,1240,85,279979,jan21pub.zip
2021-02,1240,85,257008,feb21pub.zip
2021-03,1240,80,256761,mar21pub.zip
2021-04,1240,88,266906,apr21pub.zip
2021-05,1240,87,293863,may21pub.zip
2021-06,1240,80,276884,jun21pub.csv
2021-07,1240,84,309482,jul21pub.zip
2021-08,1240,85,265518,aug21pub.zip
2021-09,1240,80,257675,sep21pub.zip
2021-10,1240,96,307426,oct21pub.zip
2021-11,1240,110,375598,nov21pub.zip
2021-12,1240,95,348532,dec21pub.zip
2022-01,1240,102,375153,jan22pub.zip
2022-02,1240,105,362521,feb22pub.zip
2022-03,1240,86,292874,mar22pub.zip
2022-04,1240,92,313737,apr22pub.zip
2022-05,1240,95,322131,may22pub.zip
2022-06,1240,93,326652,jun22pub.zip
2022-07,1240,119,408614,jul22pub.zip
2022-08,1240,118,409142,aug22pub.zip
2022-09,1240,116,402090,sep22pub.zip
2022-10,1240,127,438003,oct22pub.zip
2022-11,1240,108,364338,nov22pub.zip
2022-12,1240,113,408881,dec22pub.zip
2023-01,1240,111,390784,jan23pub.zip
2023-02,1240,111,413588,feb23pub.zip
2023-03,1240,134,498552,mar23pub.zip
2023-04,1240,150,522516,apr23pub.zip
2023-05,1240,143,490314,may23pub.zip
2023-06,1240,134,490961,jun23pub.zip
2023-07,1240,148,503563,jul23pub.zip
2023-08,1240,142,487799,aug23pub.zip
2023-09,1240,119,412096,sep23pub.zip
2023-10,1240,120,400322,oct23pub.zip
2023-11,1240,118,423954,nov23pub.zip
2023-12,1240,116,426595,dec23pub.zip
2024-01,1240,129,467655,jan24pub.zip
2024-02,1240,110,415873,feb24pub.zip
2024-03,1240,109,414251,mar24pub.zip
2024-04,1240,122,429000,apr24pub.zip
2024-05,1240,128,463684,may24pub.zip
2024-06,1240,128,452209,jun24pub.zip
2024-07,1240,112,391964,jul24pub.zip
2024-08,1240,112,385229,aug24pub.zip
2024-09,1240,111,374153,sep24pub.zip
2024-10,1240,140,490411,oct24pub.zip
2024-11,1240,141,526597,nov24pub.zip
2024-12,1240,135,527468,dec24pub.zip
2025-01,1240,146,559769,jan25pub.zip
2025-02,1240,145,541014,feb25pub.zip
2025-03,1240,131,453006,mar25pub.zip
2025-04,1240,127,444817,apr25pub.zip
2025-05,1240,142,529702,may25pub.zip
2025-06,1240,162,638692,jun25pub.zip
2025-07,1240,145,595908,jul25pub.zip
2025-08,1240,163,626149,aug25pub.zip
2025-09,1240,145,547605,sep25pub.zip
2025-11,1240,138,541779,nov25pub.zip
2025-12,1240,137,533378,dec25pub.zip
2026-01,1240,136,523800,jan26pub.zip
2026-02,1240,136,559955,feb26pub.zip
2026-03,1240,137,573709,mar26pub.zip
2026-04,1240,126,527502,apr26pub.zip
2026-05,1240,127,491249,may26pub.zip
2026-06,1240,118,447962,jun26pub.zip
2026-07,1240,130,511354,jul26pub.zip
2026-08,1240,128,517322,aug26pub.zip
