month,occupation_code,occupation_title,unweighted_respondent_count,weighted_employment_estimate,standard_error,confidence_interval_95,source_file,vintage,extraction_date,source_sha256
2020-01-01,1240,Other mathematical science occupations (includes data scientists),49,145949.7728,,,jan20pub.zip,2020,2026-09-11,0fe905dede6b719a4a6beac591d3ee539e99de074e682951a229775a646f4a94
2020-02-01,1240,Other mathematical science occupations (includes data scientists),56,141624.66500000004,,,feb20pub.zip,2020,2026-09-11,15849634ac1dce614e103227c44649fae06fce917428c70b215e5ef6eb68f9fd
2020-03-01,1240,Other mathematical science occupations (includes data scientists),47,149612.64589999997,,,mar20pub.zip,2020,2026-09-11,7ce6d8fcbb0c6168918171467874ca77e4a625adc63579b524b21805bb8ec772
2020-04-01,1240,Other mathematical science occupations (includes data scientists),44,150915.18259999997,,,apr20pub.zip,2020,2026-09-11,16efd1b6b9b74da45fcc40144a7fea1f42b2f5059cd4e10de5c32e2f3d5069ec
2020-05-01,1240,Other mathematical science occupations (includes data scientists),41,152286.70670000004,,,may20pub.zip,2020,2026-09-11,1f5a50e91bb8e4a589f398e9b6f6e71a59f7a0d6fd112c64fc64b0c46ff4e4ed
2020-06-01,1240,Other mathematical science occupations (includes data scientists),47,192528.00409999996,,,jun20pub.zip,2020,2026-09-11,25e789fdc8f69366af136236fd9fc6f1b079f7a25ad25c54da0c6868408e1148
2020-07-01,1240,Other mathematical science occupations (includes data scientists),46,166090.79309999998,,,jul20pub.zip,2020,2026-09-11,7878583f875f7cb466b8a89e500f906509ab4fef06799739f28217a785a91f29
2020-08-01,1240,Other mathematical science occupations (includes data scientists),52,169982.8943,,,aug20pub.zip,2020,2026-09-11,925b26fc7cce2ac636337141981c8d09c8c9fc729b0352aa8d1c866d3faecb5a
2020-09-01,1240,Other mathematical science occupations (includes data scientists),58,175516.52400000003,,,sep20pub.zip,2020,2026-09-11,b293393299a623d13a91fad95f0c7ac232f1b5dfb07390f3cf999455568e22d1
2020-10-01,1240,Other mathematical science occupations (includes data scientists),65,176913.76470000003,,,oct20pub.zip,2020,2026-09-11,9c532fc63e64c6e4c884f75b657856ecb3a58e71dcf24cdd5319132a56f5bfd6
2020-11-01,1240,Other mathematical science occupations (includes data scientists),71,190543.66379999998,,,nov20pub.zip,2020,2026-09-11,1fae2f26f96d8bba7c85cc35dd588d7a4a22f54985559fbdbc2843df159bbeed
2020-12-01,1240,Other mathematical science occupations (includes data scientists),65,211287.98399999994,,,dec20pub.zip,2020,2026-09-11,9052f57d9d87d34f85a4d6f0e539000217f6277904c782093eb366118b30e542
