year,month,occupation,soc,soc_in_release,title_in_release,employment,source_url
1999,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks (3)",1619870,https://web.archive.org/web/20020804075957/http://www.bls.gov:80/oes/1999/oes_nat.htm
2000,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1663530,https://web.archive.org/web/20020803075142/http://www.bls.gov:80/oes/2000/oes_nat.htm
2001,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1697890,https://web.archive.org/web/20051210174802/http://www.bls.gov:80/oes/2001/oes_nat.htm
2002,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1728730,https://web.archive.org/web/20060207064750/http://www.bls.gov:80/oes/2002/oes_nat.htm
2003,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1750680,https://web.archive.org/web/20040629025732/http://www.bls.gov:80/oes/2003/may/oes_nat.htm
2004,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1770860,https://web.archive.org/web/20060829172839/http://www.bls.gov:80/oes/2004/may/oes_nat.htm
2005,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1815340,https://web.archive.org/web/20070702195329/http://www.bls.gov:80/oes/2005/may/oes_nat.htm
2006,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1856890,https://web.archive.org/web/20111018102827/http://bls.gov/oes/2006/may/oes_nat.htm
2007,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1858500,https://web.archive.org/web/20120419010019/http://www.bls.gov/oes/2007/may/oes_nat.htm
2008,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1855010,https://web.archive.org/web/20111017040536/http://bls.gov/oes/2008/may/oes_nat.htm
2009,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1757870,https://web.archive.org/web/20111018102650/http://bls.gov/oes/2009/may/oes_nat.htm
2010,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1675250,https://web.archive.org/web/20120616173502/http://www.bls.gov:80/oes/2010/may/oes_nat.htm
2011,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1643470,https://web.archive.org/web/20160229005150/http://www.bls.gov/oes/2011/may/oes_nat.htm
2012,5,Bookkeeping clerks,43-3031,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1606260,https://web.archive.org/web/20160308095411/http://www.bls.gov/oes/2012/may/oes_nat.htm
