"season_end","club","source_name","fbref_id","tm_id","auto_status"
1996,"Leeds United","Tony Yeboah","19256324",NA,"unmatched"
1996,"Manchester City","Georgi Kinkladze","34d9f4f7",NA,"unmatched"
1996,"Chelsea","Dmitri Kharine","48a7d00f",NA,"unmatched"
1996,"Everton","Andrei Kanchelskis","82fa1e78",NA,"unmatched"
1997,"Aston Villa","Fernando Nélson","2761461a",NA,"unmatched"
1997,"Sheffield Wednesday","Benito Carbone","ad76f0c4",NA,"unmatched"
1997,"Everton","Andrei Kanchelskis","82fa1e78",NA,"unmatched"
1997,"Nottingham Forest","Alf-Inge Håland","3ae21039",NA,"unmatched"
1998,"Barnsley","David Watson","26efe836",NA,"unmatched"
1998,"Crystal Palace","Alan Miller","ba82c15d",NA,"unmatched"
1998,"Leeds United","David Robertson","0d515c62",NA,"unmatched"
1998,"Aston Villa","Fernando Nélson","2761461a",NA,"unmatched"
1998,"Sheffield Wednesday","Benito Carbone","ad76f0c4",NA,"unmatched"
1998,"Coventry City","Trond Egil Soltvedt","6b5cedc7",NA,"unmatched"
1999,"Leeds United","Alf-Inge Håland","3ae21039",NA,"unmatched"
1999,"Newcastle United","Nikos Dabizas","f8741035",NA,"unmatched"
1999,"Sheffield Wednesday","Benito Carbone","ad76f0c4",NA,"unmatched"
1999,"Chelsea","Gus Poyet","27cd364d",NA,"unmatched"
1999,"Coventry City","Trond Egil Soltvedt","6b5cedc7",NA,"unmatched"
2000,"Bradford City","Andy O'Brien","1719f6b2",NA,"unmatched"
2000,"Southampton","Paul Jones","3bf1ce9d",NA,"ambiguous"
2000,"Aston Villa","Benito Carbone","ad76f0c4",NA,"unmatched"
2000,"Newcastle United","Nikos Dabizas","f8741035",NA,"unmatched"
2000,"Chelsea","Gus Poyet","27cd364d",NA,"unmatched"
2001,"Bradford City","Benito Carbone","ad76f0c4",NA,"unmatched"
2001,"Southampton","Paul Jones","3bf1ce9d",NA,"ambiguous"
2001,"Tottenham Hotspur","Serhiy Rebrov","493b0ae2",NA,"unmatched"
2001,"Middlesbrough","Paul Okon","61d7a6b1",NA,"unmatched"
2001,"Chelsea","Gus Poyet","27cd364d",NA,"unmatched"
2002,"Tottenham Hotspur","Gus Poyet","27cd364d",NA,"unmatched"
2002,"Newcastle United","Nikos Dabizas","f8741035",NA,"unmatched"
2002,"Newcastle United","Andy O'Brien","1719f6b2",NA,"unmatched"
2003,"Tottenham Hotspur","Gus Poyet","27cd364d",NA,"unmatched"
2003,"West Bromwich Albion","Lárus Sigurðsson","5901455c",NA,"unmatched"
2003,"Middlesbrough","Geremi","3571f3d1",NA,"unmatched"
2003,"Liverpool","El Hadji Diouf","1a4542c8",NA,"unmatched"
2003,"Newcastle United","Andy O'Brien","1719f6b2",NA,"unmatched"
2003,"Manchester City","Sun Jihai","fd08c217",NA,"unmatched"
2004,"Portsmouth","Yakubu Aiyegbeni","a1fe3f62",NA,"unmatched"
2004,"Portsmouth","Alexey Smertin","006d419b",NA,"unmatched"
2004,"Liverpool","El Hadji Diouf","1a4542c8",NA,"unmatched"
2004,"Newcastle United","Andy O'Brien","1719f6b2",NA,"unmatched"
2004,"Manchester City","Sun Jihai","fd08c217",NA,"unmatched"
2004,"Birmingham City","Matt Upson","1a6e6d03",NA,"unmatched"
2005,"Norwich City","Robert Green","a350680b",NA,"unmatched"
