"club","low","high"
"Arsenal",-0.592695040945765,0.461219900187404
"Aston Villa",-0.60758238032929,0.405877036801851
"Blackburn Rovers",-0.480562948534679,0.789385880972596
"Chelsea",-0.40170068734458,0.594706789284698
"Crystal Palace",-0.627977609437925,0.310581813901694
"Everton",0.285397132947422,0.816302128391992
"Fulham",-0.181557489405666,0.921922941485194
"Leicester City",-0.696163433649253,0.446913779329135
"Liverpool",-0.414597206719349,0.429598404581849
"Manchester City",0.310851924213262,0.790133838491383
"Manchester United",0.44033629960816,0.777502861688012
"Middlesbrough",-0.605565305590101,0.829130645218413
"Newcastle United",-0.54604500992256,0.469674519941958
"Southampton",-0.624532179838076,0.418779162304501
"Sunderland",-0.738692153961403,0.634418293272261
"Tottenham Hotspur",-0.762014346082156,0.0252992767071968
"West Bromwich Albion",-0.0487388530597557,0.744482036202032
"West Ham United",-0.765034646879774,0.272479168174389
