"club","low","high"
"Arsenal",-0.418294544604818,0.440550781924466
"Aston Villa",-0.445820634147798,0.432461468349211
"Blackburn Rovers",-0.607774160493528,0.557185610349087
"Chelsea",-0.242405216040296,0.455514561694893
"Crystal Palace",-0.414966640238902,0.51133615718992
"Everton",0.36491691819041,0.78763995255375
"Fulham",0.0106032009988076,0.90209237562119
"Leicester City",-0.733171845533162,0.128081172503226
"Liverpool",-0.365707044119669,0.327316815529985
"Manchester City",-0.213077879317823,0.723174148509334
"Manchester United",0.165497528824969,0.718661783704389
"Middlesbrough",-0.801851917692137,0.932926329088586
"Newcastle United",-0.206365634718827,0.502208554991824
"Southampton",-0.768552237934442,0.293071347361707
"Sunderland",-0.636948816957272,0.712682207074827
"Tottenham Hotspur",-0.758467245537059,0.0743232215704219
"West Bromwich Albion",-0.183267848618748,0.708696708849989
"West Ham United",-0.770140156896159,-0.0733191132241121
