"club","season_end","median_tenure","n_regulars","results_points"
"Arsenal",1996,6,11,63
"Arsenal",1997,7,12,68
"Arsenal",1998,4.75,14,78
"Arsenal",1999,5.25,12,78
"Arsenal",2001,4.5,14,70
"Arsenal",2002,3.25,14,87
"Arsenal",2003,3.25,14,78
"Arsenal",2004,4,13,90
"Arsenal",2005,5,13,83
"Arsenal",2013,3.5,14,73
"Arsenal",2014,3,15,79
"Arsenal",2015,2.5,15,75
"Arsenal",2016,3.5,13,71
"Arsenal",2017,3.25,14,75
"Arsenal",2018,4,13,63
"Arsenal",2019,2,14,70
"Arsenal",2020,2,13,56
"Arsenal",2026,2,2,85
"Aston Villa",1996,1.5,12,63
"Aston Villa",1999,3.75,14,55
"Aston Villa",2001,2.75,14,54
"Aston Villa",2002,3.25,16,50
"Aston Villa",2003,4,11,45
"Aston Villa",2004,3.25,14,56
"Aston Villa",2005,4,15,47
"Aston Villa",2006,2.5,13,42
"Aston Villa",2007,4,11,50
"Aston Villa",2008,1.75,14,60
"Aston Villa",2009,1.75,12,62
"Aston Villa",2010,2,13,64
"Aston Villa",2011,3,10,48
"Aston Villa",2012,3,13,38
"Aston Villa",2013,1.5,15,41
"Aston Villa",2014,2.25,12,38
"Aston Villa",2015,3,15,38
"Aston Villa",2020,1,13,35
"Aston Villa",2021,2,14,55
"Birmingham City",2008,2,11,35
"Birmingham City",2010,1.5,12,50
"Birmingham City",2011,2.25,12,39
"Blackburn Rovers",1996,3.5,11,61
"Blackburn Rovers",1998,3.75,14,58
"Blackburn Rovers",1999,2,9,35
"Blackburn Rovers",2002,2,14,46
"Blackburn Rovers",2003,2.5,13,60
"Blackburn Rovers",2004,2.25,10,44
"Blackburn Rovers",2005,2.25,12,42
"Blackburn Rovers",2006,1.75,16,63
"Blackburn Rovers",2007,2.5,11,52
"Blackburn Rovers",2008,2,15,58
"Blackburn Rovers",2009,3,12,41
"Bolton Wanderers",1996,3,11,29
"Bolton Wanderers",1998,2.5,12,40
"Bolton Wanderers",2002,3.25,12,40
"Bolton Wanderers",2003,2.75,14,44
"Bolton Wanderers",2004,2.5,14,53
"Bolton Wanderers",2012,3,14,36
"Bournemouth",2016,3.25,12,42
"Bournemouth",2017,3.25,16,46
"Bournemouth",2018,4,16,44
"Bournemouth",2019,5,13,45
"Bournemouth",2020,3.75,14,34
"Bournemouth",2023,3.5,14,39
"Brentford",2022,3,15,46
"Brentford",2023,3.75,16,59
"Brighton and Hove Albion",2019,2,15,36
"Brighton and Hove Albion",2020,2,14,41
"Brighton and Hove Albion",2021,2,15,41
"Brighton and Hove Albion",2022,3,15,51
"Brighton and Hove Albion",2023,3,14,62
"Brighton and Hove Albion",2025,2,17,61
"Brighton and Hove Albion",2026,3,11,53
"Burnley",2010,2,14,30
"Burnley",2015,2,13,33
"Burnley",2017,3,14,40
"Burnley",2018,2.25,12,54
"Burnley",2019,3,12,40
"Burnley",2020,3.5,12,54
"Burnley",2021,4.25,14,39
"Burnley",2022,4.5,16,35
"Burnley",2024,1.5,13,24
"Cardiff City",2019,2.5,15,34
"Charlton Athletic",1999,1.5,13,36
"Charlton Athletic",2001,2.5,15,52
"Charlton Athletic",2002,3.5,12,44
"Charlton Athletic",2003,3.5,14,49
"Charlton Athletic",2004,3.75,16,53
"Charlton Athletic",2005,4,15,46
"Charlton Athletic",2006,2,13,47
"Charlton Athletic",2007,2.25,14,34
"Chelsea",1997,1.75,12,59
"Chelsea",1998,2,13,63
"Chelsea",2002,2.25,16,64
"Chelsea",2005,2,13,95
"Chelsea",2006,2,16,91
"Chelsea",2007,3,16,83
"Chelsea",2008,2.5,14,85
"Chelsea",2010,4,13,86
"Chelsea",2013,2.5,14,75
"Chelsea",2014,3,14,82
"Chelsea",2015,3,13,87
"Chelsea",2016,3.5,14,50
"Chelsea",2017,3,14,93
"Chelsea",2018,3,15,70
"Chelsea",2019,3,14,72
"Chelsea",2020,2,15,66
"Chelsea",2021,2.25,16,67
"Chelsea",2022,3,17,74
"Chelsea",2023,3,14,44
"Chelsea",2025,2,13,69
"Coventry City",1996,1.5,12,38
"Coventry City",2000,3.25,12,44
"Coventry City",2001,3,14,34
"Crystal Palace",2014,2,13,45
"Crystal Palace",2015,2,13,48
"Crystal Palace",2016,2.25,14,42
"Crystal Palace",2017,3,12,41
"Crystal Palace",2018,2,12,44
"Crystal Palace",2019,2.5,13,49
"Crystal Palace",2020,3.5,12,43
"Crystal Palace",2021,4.5,13,44
"Crystal Palace",2022,3.5,15,48
"Crystal Palace",2023,2.5,15,45
"Crystal Palace",2024,3,14,49
"Crystal Palace",2025,2,15,53
"Derby County",1997,1.5,12,46
"Derby County",1998,2,14,55
"Derby County",1999,2,15,52
"Derby County",2000,2,11,38
"Derby County",2008,1.5,11,11
"Everton",1998,1.5,11,40
"Everton",1999,1.5,12,43
"Everton",2000,2,13,50
"Everton",2001,1.75,14,42
"Everton",2002,2,13,43
"Everton",2003,2.5,13,59
"Everton",2004,3,16,39
"Everton",2005,3.5,15,61
"Everton",2006,3,14,50
"Everton",2009,3,12,63
"Everton",2011,3.5,16,54
"Everton",2012,5,12,56
"Everton",2013,4,14,63
"Everton",2014,2.5,15,72
"Everton",2015,3,13,47
"Everton",2016,2.75,14,47
"Everton",2017,3.5,13,61
"Everton",2018,2,13,49
"Everton",2020,2.5,15,49
"Everton",2021,3,16,59
"Everton",2022,2.5,13,39
"Everton",2023,1.25,12,36
"Everton",2025,3,15,48
"Everton",2026,2.5,12,49
"Fulham",2002,2,13,44
"Fulham",2003,2.25,10,48
"Fulham",2004,3.5,13,52
"Fulham",2005,1.75,12,44
"Fulham",2006,2.5,11,48
"Fulham",2007,3,15,39
"Fulham",2010,2.25,14,46
"Fulham",2014,2,12,32
"Fulham",2021,0.75,14,28
"Fulham",2023,2.25,16,52
"Fulham",2024,2,16,47
"Fulham",2025,2.5,17,54
"Hull City",2009,2,15,35
"Hull City",2010,2,15,30
"Ipswich Town",2001,2.5,14,66
"Ipswich Town",2002,2.5,15,36
"Ipswich Town",2025,1.25,14,22
"Leeds United",1997,2.5,11,46
"Leeds United",2000,3,13,69
"Leeds United",2001,2.75,12,68
"Leeds United",2002,3.5,14,66
"Leeds United",2003,4.75,10,47
"Leeds United",2004,4,9,33
"Leeds United",2021,3.25,14,59
"Leeds United",2022,3,17,38
"Leeds United",2026,2,17,47
"Leicester City",1997,1.5,13,47
"Leicester City",1998,2,13,53
"Leicester City",1999,2.5,12,49
"Leicester City",2000,2.75,14,55
"Leicester City",2001,2.25,12,48
"Leicester City",2002,3.5,11,28
"Leicester City",2004,1,11,33
"Leicester City",2015,3,14,41
"Leicester City",2016,2.25,14,81
"Leicester City",2017,3,15,44
"Leicester City",2018,3,13,47
"Leicester City",2019,3,14,52
"Leicester City",2020,2.5,16,62
"Leicester City",2021,3,15,66
"Leicester City",2022,3.5,13,52
"Leicester City",2023,4.5,14,34
"Liverpool",1996,4.5,15,71
"Liverpool",1997,5,13,68
"Liverpool",1998,3.75,16,65
"Liverpool",1999,4,14,54
"Liverpool",2000,2.25,16,67
"Liverpool",2001,2,14,69
"Liverpool",2002,3,15,80
"Liverpool",2005,4,11,58
"Liverpool",2006,2.5,14,82
"Liverpool",2007,2,13,68
"Liverpool",2008,3,13,76
"Liverpool",2009,2.5,14,86
"Liverpool",2010,3.5,13,63
"Liverpool",2011,3.5,12,58
"Liverpool",2012,1.5,13,52
"Liverpool",2013,4,13,61
"Liverpool",2014,3.25,14,84
"Liverpool",2015,2.5,13,62
"Liverpool",2016,2,14,60
"Liverpool",2017,2.5,16,76
"Liverpool",2018,2,13,75
"Liverpool",2019,2.5,14,97
"Liverpool",2020,3.5,14,99
"Liverpool",2022,5,14,92
"Liverpool",2024,3,17,82
"Luton Town",2024,2,16,26
"Manchester City",2001,2,13,34
"Manchester City",2005,2.75,10,52
"Manchester City",2007,2,10,42
"Manchester City",2008,1.5,13,55
"Manchester City",2009,2.25,10,50
"Manchester City",2010,1.5,13,67
"Manchester City",2011,2,13,71
"Manchester City",2012,2.25,16,89
"Manchester City",2013,3,16,78
"Manchester City",2014,3.25,16,86
"Manchester City",2015,4,17,79
"Manchester City",2016,2.25,16,66
"Manchester City",2017,4,15,78
"Manchester City",2018,2.5,14,100
"Manchester City",2020,3.75,14,81
"Manchester City",2021,4,16,86
"Manchester City",2023,5,15,89
"Manchester City",2024,3.25,14,91
"Manchester City",2025,3,15,71
