"club","season_end","median_tenure","n_regulars","results_points"
"Arsenal",1996,6,10,63
"Arsenal",1997,7,11,68
"Arsenal",1998,8,11,78
"Arsenal",1999,6.5,11,78
"Arsenal",2000,3.5,14,73
"Arsenal",2001,4.5,12,70
"Arsenal",2002,3,11,87
"Arsenal",2003,3.5,11,78
"Arsenal",2004,4,11,90
"Arsenal",2005,5,11,83
"Arsenal",2006,4.75,10,67
"Arsenal",2013,4,13,73
"Arsenal",2014,3.5,10,79
"Arsenal",2015,3,8,75
"Arsenal",2016,3,10,71
"Arsenal",2017,3,10,75
"Arsenal",2018,3,11,63
"Arsenal",2019,2,12,70
"Arsenal",2020,2.25,6,56
"Arsenal",2026,3,1,85
"Aston Villa",1996,1.5,11,63
"Aston Villa",1999,3.75,12,55
"Aston Villa",2001,2.5,11,54
"Aston Villa",2002,3,9,50
"Aston Villa",2003,4.25,10,45
"Aston Villa",2004,3,13,56
"Aston Villa",2005,4.25,10,47
"Aston Villa",2006,2,11,42
"Aston Villa",2007,4,7,50
"Aston Villa",2008,2,11,60
"Aston Villa",2009,1.5,9,62
"Aston Villa",2010,2,11,64
"Aston Villa",2011,3,9,48
"Aston Villa",2012,3,9,38
"Aston Villa",2013,1.25,10,41
"Aston Villa",2014,2.5,11,38
"Aston Villa",2015,3,12,38
"Aston Villa",2020,1,11,35
"Aston Villa",2021,2,10,55
"Aston Villa",2024,3.25,12,68
"Aston Villa",2025,3.5,11,66
"Birmingham City",2008,2,9,35
"Birmingham City",2010,1.5,11,50
"Birmingham City",2011,2.25,10,39
"Blackburn Rovers",1996,3.5,11,61
"Blackburn Rovers",1997,4.5,11,42
"Blackburn Rovers",1998,4.5,11,58
"Blackburn Rovers",1999,2,6,35
"Blackburn Rovers",2002,3,11,46
"Blackburn Rovers",2003,2.25,12,60
"Blackburn Rovers",2004,2.5,8,44
"Blackburn Rovers",2005,2,8,42
"Blackburn Rovers",2006,1.75,12,63
"Blackburn Rovers",2007,2.75,8,52
"Blackburn Rovers",2008,2.25,12,58
"Blackburn Rovers",2009,2.75,8,41
"Blackburn Rovers",2011,4,9,43
"Blackpool",2011,2.25,10,39
"Bolton Wanderers",1996,3,10,29
"Bolton Wanderers",1998,2.5,12,40
"Bolton Wanderers",2002,3.25,10,40
"Bolton Wanderers",2003,2.5,12,44
"Bolton Wanderers",2004,2.75,12,53
"Bolton Wanderers",2006,3,10,56
"Bolton Wanderers",2012,3,11,36
"Bournemouth",2016,3.25,10,42
"Bournemouth",2017,4,9,46
"Bournemouth",2018,4,13,44
"Bournemouth",2019,4,9,45
"Bournemouth",2020,3.5,11,34
"Bournemouth",2023,4,9,39
"Brentford",2022,3,10,46
"Brentford",2023,4,10,59
"Brentford",2024,4.25,10,39
"Brentford",2025,3,11,56
"Brighton and Hove Albion",2019,2.5,9,36
"Brighton and Hove Albion",2020,2,11,41
"Brighton and Hove Albion",2021,2,10,41
"Brighton and Hove Albion",2022,3,9,51
"Brighton and Hove Albion",2023,3,11,62
"Brighton and Hove Albion",2024,3,7,48
"Brighton and Hove Albion",2025,2,11,61
"Brighton and Hove Albion",2026,3,5,53
"Burnley",2010,3,11,30
"Burnley",2015,3,11,33
"Burnley",2017,3.25,12,40
"Burnley",2018,2,11,54
"Burnley",2019,3,8,40
"Burnley",2020,3.5,12,54
"Burnley",2021,4.5,9,39
"Burnley",2022,5.75,10,35
"Burnley",2024,1.25,10,24
"Cardiff City",2019,2.5,12,34
"Charlton Athletic",1999,1.5,10,36
"Charlton Athletic",2001,2.5,10,52
"Charlton Athletic",2002,2.75,10,44
"Charlton Athletic",2003,3.5,12,49
"Charlton Athletic",2004,3.5,13,53
"Charlton Athletic",2005,3.25,10,46
"Charlton Athletic",2006,2.5,9,47
"Charlton Athletic",2007,2.25,8,34
"Chelsea",1997,1.5,11,59
"Chelsea",1998,2.5,11,63
"Chelsea",2002,2.25,10,64
"Chelsea",2003,3,11,67
"Chelsea",2004,3,9,79
"Chelsea",2005,2,10,95
"Chelsea",2006,2,12,91
"Chelsea",2007,3,10,83
"Chelsea",2008,3,12,85
"Chelsea",2010,4,11,86
"Chelsea",2011,5,11,71
"Chelsea",2013,2.5,12,75
"Chelsea",2014,4,9,82
"Chelsea",2015,3,11,87
"Chelsea",2016,3,13,50
"Chelsea",2017,3,11,93
"Chelsea",2018,4,13,70
"Chelsea",2019,3,11,72
"Chelsea",2020,2.5,10,66
"Chelsea",2021,2,11,67
"Chelsea",2022,3.5,10,74
"Chelsea",2023,2.5,7,44
"Chelsea",2025,2,9,69
"Chelsea",2026,3.5,11,52
"Coventry City",1996,1.5,12,38
"Coventry City",2000,3.5,11,44
"Coventry City",2001,3.75,12,34
"Crystal Palace",2014,2,11,45
"Crystal Palace",2015,3,11,48
"Crystal Palace",2016,2.5,10,42
"Crystal Palace",2017,3,11,41
"Crystal Palace",2018,2,11,44
"Crystal Palace",2019,2.5,10,49
"Crystal Palace",2020,3.5,9,43
"Crystal Palace",2021,4.5,11,44
"Crystal Palace",2022,3.75,10,48
"Crystal Palace",2023,3,12,45
