"club","n_seasons","correlation","spearman","defined","reason"
"Arsenal",18,-0.0909523874735784,-0.109838759656814,TRUE,"defined"
"Aston Villa",19,-0.105245704298171,-0.104332816196318,TRUE,"defined"
"Birmingham City",3,NA,NA,FALSE,"fewer than 10 seasons"
"Blackburn Rovers",11,0.24986268450732,0.0646694387133799,TRUE,"defined"
"Bolton Wanderers",6,NA,NA,FALSE,"fewer than 10 seasons"
"Bournemouth",6,NA,NA,FALSE,"fewer than 10 seasons"
"Brentford",2,NA,NA,FALSE,"fewer than 10 seasons"
"Brighton and Hove Albion",7,NA,NA,FALSE,"fewer than 10 seasons"
"Burnley",9,NA,NA,FALSE,"fewer than 10 seasons"
"Cardiff City",1,NA,NA,FALSE,"fewer than 10 seasons"
"Charlton Athletic",8,NA,NA,FALSE,"fewer than 10 seasons"
"Chelsea",20,0.0606257232478812,0.140293161323208,TRUE,"defined"
"Coventry City",3,NA,NA,FALSE,"fewer than 10 seasons"
"Crystal Palace",12,-0.254095152393386,-0.25408746439059,TRUE,"defined"
"Derby County",5,NA,NA,FALSE,"fewer than 10 seasons"
"Everton",24,0.562991457881024,0.601588227936711,TRUE,"defined"
"Fulham",12,0.617008402454406,0.612535159277135,TRUE,"defined"
"Hull City",2,NA,NA,FALSE,"fewer than 10 seasons"
"Ipswich Town",3,NA,NA,FALSE,"fewer than 10 seasons"
"Leeds United",9,NA,NA,FALSE,"fewer than 10 seasons"
"Leicester City",16,-0.180817276772208,-0.232987628919242,TRUE,"defined"
"Liverpool",25,0.0497133427513681,0.00776269079465056,TRUE,"defined"
"Luton Town",1,NA,NA,FALSE,"fewer than 10 seasons"
"Manchester City",19,0.561958678916656,0.616106362634121,TRUE,"defined"
"Manchester United",19,0.590810361016251,0.697897926575327,TRUE,"defined"
"Middlesbrough",10,0.239871888306042,0.0917435482598863,TRUE,"defined"
"Newcastle United",12,-0.0166448017001781,0.0972950511114279,TRUE,"defined"
"Norwich City",2,NA,NA,FALSE,"fewer than 10 seasons"
"Nottingham Forest",5,NA,NA,FALSE,"fewer than 10 seasons"
"Portsmouth",4,NA,NA,FALSE,"fewer than 10 seasons"
"Queens Park Rangers",2,NA,NA,FALSE,"fewer than 10 seasons"
"Reading",2,NA,NA,FALSE,"fewer than 10 seasons"
"Sheffield Wednesday",2,NA,NA,FALSE,"fewer than 10 seasons"
"Southampton",15,-0.0305614929392232,-0.18301026983624,TRUE,"defined"
"Stoke City",6,NA,NA,FALSE,"fewer than 10 seasons"
"Sunderland",13,-0.144852866367034,0.0313929702042817,TRUE,"defined"
"Swansea City",1,NA,NA,FALSE,"fewer than 10 seasons"
"Tottenham Hotspur",15,-0.372706619347971,-0.423550398586418,TRUE,"defined"
"Watford",2,NA,NA,FALSE,"fewer than 10 seasons"
"West Bromwich Albion",11,0.427910133307269,0.355460448093951,TRUE,"defined"
"West Ham United",12,-0.404614570657247,-0.34551726087395,TRUE,"defined"
"Wigan Athletic",8,NA,NA,FALSE,"fewer than 10 seasons"
"Wimbledon",5,NA,NA,FALSE,"fewer than 10 seasons"
"Wolverhampton Wanderers",2,NA,NA,FALSE,"fewer than 10 seasons"
