"club","n_seasons","correlation","spearman","defined","reason"
"Arsenal",20,0.0414063375933181,0.0727466539877979,TRUE,"defined"
"Aston Villa",21,0.0277835165590055,0.0549183106682374,TRUE,"defined"
"Birmingham City",3,NA,NA,FALSE,"fewer than 10 seasons"
"Blackburn Rovers",13,-0.0374791053780933,-0.04986168714859,TRUE,"defined"
"Blackpool",1,NA,NA,FALSE,"fewer than 10 seasons"
"Bolton Wanderers",7,NA,NA,FALSE,"fewer than 10 seasons"
"Bournemouth",6,NA,NA,FALSE,"fewer than 10 seasons"
"Brentford",4,NA,NA,FALSE,"fewer than 10 seasons"
"Brighton and Hove Albion",8,NA,NA,FALSE,"fewer than 10 seasons"
"Burnley",9,NA,NA,FALSE,"fewer than 10 seasons"
"Cardiff City",1,NA,NA,FALSE,"fewer than 10 seasons"
"Charlton Athletic",8,NA,NA,FALSE,"fewer than 10 seasons"
"Chelsea",24,0.0944529027025797,0.157283813667439,TRUE,"defined"
"Coventry City",3,NA,NA,FALSE,"fewer than 10 seasons"
"Crystal Palace",12,0.0174993614627619,0.00183249790472309,TRUE,"defined"
"Derby County",7,NA,NA,FALSE,"fewer than 10 seasons"
"Everton",25,0.614558774414847,0.559128117375614,TRUE,"defined"
"Fulham",16,0.607355695835566,0.517298497043543,TRUE,"defined"
"Hull City",2,NA,NA,FALSE,"fewer than 10 seasons"
"Ipswich Town",3,NA,NA,FALSE,"fewer than 10 seasons"
"Leeds United",9,NA,NA,FALSE,"fewer than 10 seasons"
"Leicester City",16,-0.3251874675292,-0.284871485598957,TRUE,"defined"
"Liverpool",27,0.00225877948098399,0.0183080389720673,TRUE,"defined"
"Luton Town",1,NA,NA,FALSE,"fewer than 10 seasons"
"Manchester City",20,0.262832768653659,0.40856125429906,TRUE,"defined"
"Manchester United",27,0.497829848739088,0.494922833174405,TRUE,"defined"
"Middlesbrough",10,0.121274126412556,0.0748332609049571,TRUE,"defined"
"Newcastle United",16,0.11942501226107,0.326426376662977,TRUE,"defined"
"Norwich City",2,NA,NA,FALSE,"fewer than 10 seasons"
"Nottingham Forest",5,NA,NA,FALSE,"fewer than 10 seasons"
"Portsmouth",4,NA,NA,FALSE,"fewer than 10 seasons"
"Queens Park Rangers",2,NA,NA,FALSE,"fewer than 10 seasons"
"Reading",2,NA,NA,FALSE,"fewer than 10 seasons"
"Sheffield United",1,NA,NA,FALSE,"fewer than 10 seasons"
"Sheffield Wednesday",2,NA,NA,FALSE,"fewer than 10 seasons"
"Southampton",17,-0.193812743911727,-0.369594630220822,TRUE,"defined"
"Stoke City",8,NA,NA,FALSE,"fewer than 10 seasons"
"Sunderland",13,0.0221409547704255,0.179167357900091,TRUE,"defined"
"Swansea City",3,NA,NA,FALSE,"fewer than 10 seasons"
"Tottenham Hotspur",17,-0.37304715389671,-0.38521672027139,TRUE,"defined"
"Watford",4,NA,NA,FALSE,"fewer than 10 seasons"
"West Bromwich Albion",11,0.338419609557794,0.232323500628466,TRUE,"defined"
"West Ham United",16,-0.464132790910062,-0.426754688580229,TRUE,"defined"
"Wigan Athletic",8,NA,NA,FALSE,"fewer than 10 seasons"
"Wimbledon",5,NA,NA,FALSE,"fewer than 10 seasons"
"Wolverhampton Wanderers",2,NA,NA,FALSE,"fewer than 10 seasons"
