"club","season_end","official_points","results_points","matches","gap"
"Arsenal",1996,63,63,38,0
"Arsenal",1997,68,68,38,0
"Arsenal",1998,78,78,38,0
"Arsenal",1999,78,78,38,0
"Arsenal",2000,73,73,38,0
"Arsenal",2001,70,70,38,0
"Arsenal",2002,87,87,38,0
"Arsenal",2003,78,78,38,0
"Arsenal",2004,90,90,38,0
"Arsenal",2005,83,83,38,0
"Arsenal",2006,67,67,38,0
"Arsenal",2007,68,68,38,0
"Arsenal",2008,83,83,38,0
"Arsenal",2009,72,72,38,0
"Arsenal",2010,75,75,38,0
"Arsenal",2011,68,68,38,0
"Arsenal",2012,70,70,38,0
"Arsenal",2013,73,73,38,0
"Arsenal",2014,79,79,38,0
"Arsenal",2015,75,75,38,0
"Arsenal",2016,71,71,38,0
"Arsenal",2017,75,75,38,0
"Arsenal",2018,63,63,38,0
"Arsenal",2019,70,70,38,0
"Arsenal",2020,56,56,38,0
"Arsenal",2021,61,61,38,0
"Arsenal",2022,69,69,38,0
"Arsenal",2023,84,84,38,0
"Arsenal",2024,89,89,38,0
"Arsenal",2025,74,74,38,0
"Arsenal",2026,85,85,38,0
"Aston Villa",1996,63,63,38,0
"Aston Villa",1997,61,61,38,0
"Aston Villa",1998,57,57,38,0
"Aston Villa",1999,55,55,38,0
"Aston Villa",2000,58,58,38,0
"Aston Villa",2001,54,54,38,0
"Aston Villa",2002,50,50,38,0
"Aston Villa",2003,45,45,38,0
"Aston Villa",2004,56,56,38,0
"Aston Villa",2005,47,47,38,0
"Aston Villa",2006,42,42,38,0
"Aston Villa",2007,50,50,38,0
"Aston Villa",2008,60,60,38,0
"Aston Villa",2009,62,62,38,0
"Aston Villa",2010,64,64,38,0
"Aston Villa",2011,48,48,38,0
"Aston Villa",2012,38,38,38,0
"Aston Villa",2013,41,41,38,0
"Aston Villa",2014,38,38,38,0
"Aston Villa",2015,38,38,38,0
"Aston Villa",2016,17,17,38,0
"Aston Villa",2020,35,35,38,0
"Aston Villa",2021,55,55,38,0
"Aston Villa",2022,45,45,38,0
"Aston Villa",2023,61,61,38,0
"Aston Villa",2024,68,68,38,0
"Aston Villa",2025,66,66,38,0
"Aston Villa",2026,65,65,38,0
"Barnsley",1998,35,35,38,0
"Birmingham City",2003,48,48,38,0
"Birmingham City",2004,50,50,38,0
"Birmingham City",2005,45,45,38,0
"Birmingham City",2006,34,34,38,0
"Birmingham City",2008,35,35,38,0
"Birmingham City",2010,50,50,38,0
"Birmingham City",2011,39,39,38,0
"Blackburn Rovers",1996,61,61,38,0
"Blackburn Rovers",1997,42,42,38,0
"Blackburn Rovers",1998,58,58,38,0
"Blackburn Rovers",1999,35,35,38,0
"Blackburn Rovers",2002,46,46,38,0
"Blackburn Rovers",2003,60,60,38,0
"Blackburn Rovers",2004,44,44,38,0
"Blackburn Rovers",2005,42,42,38,0
"Blackburn Rovers",2006,63,63,38,0
"Blackburn Rovers",2007,52,52,38,0
"Blackburn Rovers",2008,58,58,38,0
"Blackburn Rovers",2009,41,41,38,0
"Blackburn Rovers",2010,50,50,38,0
"Blackburn Rovers",2011,43,43,38,0
"Blackburn Rovers",2012,31,31,38,0
"Blackpool",2011,39,39,38,0
"Bolton Wanderers",1996,29,29,38,0
"Bolton Wanderers",1998,40,40,38,0
"Bolton Wanderers",2002,40,40,38,0
"Bolton Wanderers",2003,44,44,38,0
"Bolton Wanderers",2004,53,53,38,0
"Bolton Wanderers",2005,58,58,38,0
"Bolton Wanderers",2006,56,56,38,0
"Bolton Wanderers",2007,56,56,38,0
"Bolton Wanderers",2008,37,37,38,0
"Bolton Wanderers",2009,41,41,38,0
"Bolton Wanderers",2010,39,39,38,0
"Bolton Wanderers",2011,46,46,38,0
"Bolton Wanderers",2012,36,36,38,0
"Bournemouth",2016,42,42,38,0
"Bournemouth",2017,46,46,38,0
"Bournemouth",2018,44,44,38,0
"Bournemouth",2019,45,45,38,0
"Bournemouth",2020,34,34,38,0
"Bournemouth",2023,39,39,38,0
"Bournemouth",2024,48,48,38,0
"Bournemouth",2025,56,56,38,0
"Bournemouth",2026,57,57,38,0
"Bradford City",2000,36,36,38,0
"Bradford City",2001,26,26,38,0
"Brentford",2022,46,46,38,0
"Brentford",2023,59,59,38,0
"Brentford",2024,39,39,38,0
"Brentford",2025,56,56,38,0
"Brentford",2026,53,53,38,0
"Brighton and Hove Albion",2018,40,40,38,0
"Brighton and Hove Albion",2019,36,36,38,0
"Brighton and Hove Albion",2020,41,41,38,0
"Brighton and Hove Albion",2021,41,41,38,0
"Brighton and Hove Albion",2022,51,51,38,0
"Brighton and Hove Albion",2023,62,62,38,0
"Brighton and Hove Albion",2024,48,48,38,0
"Brighton and Hove Albion",2025,61,61,38,0
"Brighton and Hove Albion",2026,53,53,38,0
"Burnley",2010,30,30,38,0
"Burnley",2015,33,33,38,0
"Burnley",2017,40,40,38,0
"Burnley",2018,54,54,38,0
"Burnley",2019,40,40,38,0
"Burnley",2020,54,54,38,0
"Burnley",2021,39,39,38,0
"Burnley",2022,35,35,38,0
"Burnley",2024,24,24,38,0
"Burnley",2026,22,22,38,0
"Cardiff City",2014,30,30,38,0
"Cardiff City",2019,34,34,38,0
"Charlton Athletic",1999,36,36,38,0
"Charlton Athletic",2001,52,52,38,0
"Charlton Athletic",2002,44,44,38,0
"Charlton Athletic",2003,49,49,38,0
"Charlton Athletic",2004,53,53,38,0
"Charlton Athletic",2005,46,46,38,0
"Charlton Athletic",2006,47,47,38,0
"Charlton Athletic",2007,34,34,38,0
"Chelsea",1996,50,50,38,0
"Chelsea",1997,59,59,38,0
"Chelsea",1998,63,63,38,0
"Chelsea",1999,75,75,38,0
"Chelsea",2000,65,65,38,0
"Chelsea",2001,61,61,38,0
"Chelsea",2002,64,64,38,0
"Chelsea",2003,67,67,38,0
"Chelsea",2004,79,79,38,0
"Chelsea",2005,95,95,38,0
"Chelsea",2006,91,91,38,0
"Chelsea",2007,83,83,38,0
"Chelsea",2008,85,85,38,0
"Chelsea",2009,83,83,38,0
"Chelsea",2010,86,86,38,0
"Chelsea",2011,71,71,38,0
"Chelsea",2012,64,64,38,0
"Chelsea",2013,75,75,38,0
"Chelsea",2014,82,82,38,0
"Chelsea",2015,87,87,38,0
"Chelsea",2016,50,50,38,0
"Chelsea",2017,93,93,38,0
"Chelsea",2018,70,70,38,0
"Chelsea",2019,72,72,38,0
"Chelsea",2020,66,66,38,0
"Chelsea",2021,67,67,38,0
"Chelsea",2022,74,74,38,0
"Chelsea",2023,44,44,38,0
"Chelsea",2024,63,63,38,0
"Chelsea",2025,69,69,38,0
"Chelsea",2026,52,52,38,0
"Coventry City",1996,38,38,38,0
"Coventry City",1997,41,41,38,0
"Coventry City",1998,52,52,38,0
"Coventry City",1999,42,42,38,0
"Coventry City",2000,44,44,38,0
"Coventry City",2001,34,34,38,0
"Crystal Palace",1998,33,33,38,0
"Crystal Palace",2005,33,33,38,0
"Crystal Palace",2014,45,45,38,0
"Crystal Palace",2015,48,48,38,0
"Crystal Palace",2016,42,42,38,0
"Crystal Palace",2017,41,41,38,0
"Crystal Palace",2018,44,44,38,0
"Crystal Palace",2019,49,49,38,0
"Crystal Palace",2020,43,43,38,0
"Crystal Palace",2021,44,44,38,0
"Crystal Palace",2022,48,48,38,0
"Crystal Palace",2023,45,45,38,0
"Crystal Palace",2024,49,49,38,0
"Crystal Palace",2025,53,53,38,0
"Crystal Palace",2026,45,45,38,0
"Derby County",1997,46,46,38,0
"Derby County",1998,55,55,38,0
"Derby County",1999,52,52,38,0
"Derby County",2000,38,38,38,0
"Derby County",2001,42,42,38,0
"Derby County",2002,30,30,38,0
"Derby County",2008,11,11,38,0
"Everton",1996,61,61,38,0
"Everton",1997,42,42,38,0
"Everton",1998,40,40,38,0
"Everton",1999,43,43,38,0
"Everton",2000,50,50,38,0
"Everton",2001,42,42,38,0
"Everton",2002,43,43,38,0
"Everton",2003,59,59,38,0
"Everton",2004,39,39,38,0
"Everton",2005,61,61,38,0
"Everton",2006,50,50,38,0
"Everton",2007,58,58,38,0
"Everton",2008,65,65,38,0
"Everton",2009,63,63,38,0
"Everton",2010,61,61,38,0
"Everton",2011,54,54,38,0
"Everton",2012,56,56,38,0
"Everton",2013,63,63,38,0
"Everton",2014,72,72,38,0
"Everton",2015,47,47,38,0
"Everton",2016,47,47,38,0
"Everton",2017,61,61,38,0
"Everton",2018,49,49,38,0
"Everton",2019,54,54,38,0
"Everton",2020,49,49,38,0
"Everton",2021,59,59,38,0
"Everton",2022,39,39,38,0
"Everton",2023,36,36,38,0
"Everton",2024,40,48,38,-8
"Everton",2025,48,48,38,0
"Everton",2026,49,49,38,0
"Fulham",2002,44,44,38,0
"Fulham",2003,48,48,38,0
"Fulham",2004,52,52,38,0
"Fulham",2005,44,44,38,0
"Fulham",2006,48,48,38,0
"Fulham",2007,39,39,38,0
"Fulham",2008,36,36,38,0
"Fulham",2009,53,53,38,0
"Fulham",2010,46,46,38,0
"Fulham",2011,49,49,38,0
"Fulham",2012,52,52,38,0
"Fulham",2013,43,43,38,0
"Fulham",2014,32,32,38,0
"Fulham",2019,26,26,38,0
"Fulham",2021,28,28,38,0
"Fulham",2023,52,52,38,0
"Fulham",2024,47,47,38,0
"Fulham",2025,54,54,38,0
"Fulham",2026,52,52,38,0
"Huddersfield Town",2018,37,37,38,0
"Huddersfield Town",2019,16,16,38,0
"Hull City",2009,35,35,38,0
"Hull City",2010,30,30,38,0
"Hull City",2014,37,37,38,0
"Hull City",2015,35,35,38,0
"Hull City",2017,34,34,38,0
